Footnote,Year,"Country of origin","Country of asylum","Population type"
"Updated figure is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, which began in 2014. During 2016 874 persons of those registered acquired Malaysian nationality.",2016,278,127,STA
"The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in 2010. The figure has been adjusted to reflect that citizenship of Uzbekistan has been granted to 6,761 persons since December 2016.",2018,278,203,STA
"The decrease in the stateless population in Iceland between 2022 and 2023 is due to de-duplication of figures reported in previous years.",2023,278,86,STA
"Pending asylum applications refer to the end of 2015.",2016,278,6,ASY
"The 1.5 million refugees includes around 1,252,800 registered refugees, around 129,700 unregistered members of registered families who were being verified at the time of reporting and were recorded through the documentation renewal and information verification exercise (DRIVE) and around 108,000 Afghans who arrived in the country on or after 1 January 2021.",2021,278,147,REF
"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.5 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",2020,278,202,ASY
"The decrease in the stateless population in Denmark between 2022 and 2023 is due to de-duplication of figures reported in previous years.",2023,278,50,STA
"The data do not include 736 Syrians who arrived under admission programmes established by the German Laender.",2017,278,72,REF
"The figure represents a rudimentary estimate of in situ stateless persons. These estimates were provided by representatives from these unrecognized communities. The estimated figures have not been verified or confirmed by the government of Uganda and UNHCR and UNHCR is planning to support government efforts to gather official statistics on stateless persons and persons of undetermined nationality in Uganda.",2021,278,199,STA
"A population census in 2021, resulted in a revision of the number of persons under international protection living in Canada, which was previously estimated by UNHCR. Year-end stock refers to protected persons who are yet to acquire permanent resident status.",2022,278,33,REF
"In 2022, people provided international protection on the basis of the humanitarian situation in their country of origin were reported as in a refugee-like situation.",2022,278,97,REF
"The updated statelessness figure is based on a registration exercise covering 28 municipalities that has taken place between 2014 and 2016. 4,112 of the registered group were confirmed as Filipino, Indonesian or dual nationals during 2016.",2016,278,151,STA
"With regard to the statelessness figures, in 2019, Colombia granted nationality by birth to 28,500 children with undetermined nationality born in Colombia to Venezuelan parents displaced abroad. As these children were both identified as persons with undetermined nationality and granted Colombian nationality in 2019, there was no impact on the figures reported.",2019,278,44,STA
"The statelessness figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2017.",2017,278,160,STA
"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 3 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",2018,278,98,ASY
"Figure from the 2011 census.",2015,278,49,STA
"This includes around 770,500 refugees and 27,800 UNHCR pre-registered new arrivals, reported as refugee-like. Based on information received from the Government in October 2020, the Islamic Republic of Iran hosts 800,000 refugees, of which 780,000 are Afghan Amayesh cardholders and 20,000 are Iraqi Hoviat cardholders. These cards effectively offer refugee status to their holders. UNHCR has been in continuous engagement with the authorities in relation to these figures ever since. In view of the absence of updated data, UNHCR sought to estimate the changes in the refugee population considering the natural growth and onward movements, estimating the total to be some 770,000 refugees (out of which 750,000 were Afghans and 20,000 Iraqis).",2021,278,91,REF
"Includes people deprived of their citizenship under previous nationality legislation, stateless individuals with permanent residence who are recognized as ""stateless foreigners"" and other stateless persons resident in Greece.",2017,278,76,STA
"Pending a more accurate study into stateless in Iraq, the estimate of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances.",2015,278,92,STA
"According to some reports many stateless persons were naturalized between 2011-2018, but no official figures are yet confirmed.",2018,278,185,STA
"An adjustment to 2015 end of year figures, in particular for the number of asylum applications pending on appeal and review, has resulted in a substantially lower figure for numbers of asylum-seekers reported in South Africa.",2015,278,159,ASY
"Figure of others of concern relates to persons who have specific protection needs and live in non-government-controlled areas or within 20 km of the contact line in government-controlled areas.",2019,200,278,OOC
"Figure of stateless persons is an estimate and currently under review.",2015,278,214,STA
"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The increase in the reported figure is due to the identification of new people in stateless situations.",2022,278,190,STA
"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 12,400 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2021,278,163,ASY
"Updated figure from the National Institute of Statistics (ISTAT).",2015,278,94,STA
"The 303,100 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.",2019,278,37,REF
"With regard to the statelessness figures, in 2020, Colombia granted nationality by birth to 7,700 children with undetermined nationality born in Colombia to Venezuelan parents displaced abroad. As these children were both identified as persons with undetermined nationality and granted Colombian nationality in 2020, there was no impact on the figures reported.",2020,278,44,STA
"The Albanian Government conducted the Population and Housing Census during the period of September–October 2023. The results of the census are expected to be published by the end of June 2024 and the number of persons at risk of statelessness identified will be updated accordingly.

The start-year figures are based on an identification exercise conducted in 2021 which identified a further 1,120 persons at risk of statelessness, subtracting the number of undocumented persons who had their nationality confirmed by the Albanian authorities in 2021. During 2022, an additional 350 people were assisted to confirm their nationalities through administrative and/or judicial procedures, out of which 238 were fully resolved.",2023,278,3,STA
"In November 2017, UNHCR jointly with the Ministry of Interior (MoI) and the Ministry of Labour and Social Care carried out a field verification of all ex-Yugoslav refugees with unresolved status issues, including those of undetermined nationality. The field exercise covered 2,318 individuals (including 42% children) in 20 municipalities. The exercise identified  145 persons of undetermined nationality. Following the verification exercise, UNHCR and the MoI formed a working group to jointly assess each case and look for solutions in Montenegro or in the countries of origin.",2018,278,133,STA
"In 2010, the Government reported 86,703 stateless persons with permanent residence. The figure has been adjusted provided that citizenship of Uzbekistan was granted to 1,148 persons since December 2016. Information on other categories of stateless persons is not available.",2017,278,203,STA
"The profiles that are registered under this undetermined nationality category provided by the Ministry of Interior are not clearly defined and therefore these 9,641 have been removed from Stateless statistics published for Belgium.",2020,278,17,STA
"Figure from the 2011 census. It includes 63 stateless persons who held permits to stay in Slovakia at the end of 2011. No updated data on the number of stateless persons is available.",2015,278,180,STA
"Figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2016.",2016,278,160,STA
"Various studies estimate that a large number of individuals lack citizenship certificates in Nepal. While these individuals are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.",2015,278,137,STA
"Asylum applications and pending figures are adjusted with the average number of person per case(1.3).",2016,278,70,ASY
"Figure is based on a registration exercise in 2015 in three regions, leading to the registration of 842 people as stateless by the Ministry of Internal Affairs of Tajikistan.The additional 2,985 persons reflects individuals identified by UNHCR partners as at risk of statelessness or with undetermined nationality awaiting a solution from the government, as well as individuals who obtained residency permits for stateless persons reported by UNHCR partners.",2023,278,189,STA
"All 58 persons were in the final stages of naturalization or citizenship confirmation formalities.",2019,278,100,STA
"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of 2023, the total number of individuals recognised under UK’s statelessness determination procedure is 362. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.The number of 'stateless' asylum-seekers in the UK awaiting a decision has been revised, following decisions on their asylum claims during the year.",2023,278,70,STA
"Stateless persons include persons who came from other countries to live and work in Singapore and lost their foreign citizenship over time, and children born in Singapore but not eligible for Singapore Citizenship at birth and whose parents confer nationality to them.",2018,278,168,STA
"The statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR.","2021, 2023",278,87,STA
"In 2020, the refugee estimates were updated using the data provided by ISTAT for 2019, augmented with the decisions on asylum applications provided by the Ministry of Interior in 2020. The ISTAT statistics provide the total number of people with valid refugee residence permits, disaggregated for the 50 most common countries of origins. This resulted in a reduction in the start-year refugee population of 91,200 refugees.",2020,278,94,REF
"The figure reported under “Stateless people including displaced Rohingya population from Myanmar” relates to stateless persons who are also refugees from Myanmar, mainly from Rakhine State. This figure exceptionally includes 932,204 stateless refugees who are also counted in the column under “Refugees” in Annex Table 1. UNHCR’s statistical reporting currently follows a methodology that reports on one legal status as a person of concern only. However, due to the extraordinary size of the newly displaced stateless population in Bangladesh, UNHCR considered it important to reflect, on an exceptional basis, the dual status that this population group possesses as both refugees and stateless persons as to do otherwise might convey the mistaken impression that the overall number of stateless persons has declined significantly. For more information on UNHCR’s approach in reporting on this population group, please refer to the text box on p. 53 of Global Trends 2017 report.",2017,278,20,STA
"A study is being pursued to provide a revised estimate of statelessness figure.",2016,278,214,STA
"The statelessness figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2016. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.",2016,278,87,STA
"UNHCR is verifying the number of stateless people with the Government of Saudi Arabia.",2024,278,163,STA
"The figure is based on an NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.",2018,278,181,STA
"The figure of persons of concern under the statelessness mandate relates to stateless persons in Rakhine State and persons of undetermined nationality residing in other States in Myanmar. The figure of stateless persons in Rakhine State has been estimated on the basis of the 2014 census report. It does not include an estimated 147,000 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs. In Rakhine State, the total number of stateless persons is estimated to be approximately one million. Revisions have been made to reduce the number of stateless persons due to departures to Bangladesh after October 2016. Outside of Rakhine State, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, whose citizenship has not yet been confirmed.",2016,278,135,"STA,IDP"
"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.7 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (7 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 7 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",2024,278,44,IDP
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population had been issued by December 2022.",2022,278,53,STA
"UNHCR is verifying the number of stateless persons with the Government of Saudi Arabia.",2019,278,163,STA
"Figure of Stateless persons was estimated from the 2014 census. It does not include an estimated 151,921 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs.In Rakhine State it is estimated to be approximately one million.",2015,278,135,STA
"Figure from the 2011 census. It includes 23 persons registered as stateless by the Government of Croatia.",2015,278,84,STA
"The reduction of about 109,400 is due to improved estimates of Somali refugees in Yemen. Starting in September 2020, UNHCR has been working with the authorities and other actors to improve estimates of refugee and asylum-seeker statistics in Yemen.",2020,278,211,REF
"The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports. The asylum-seeker figure is based on the number of applications lodged for protection visas.",2019,278,11,REF
"Estimates of the number of Ukrainians in a refugee-like situation in Montenegro were revised.",2024,278,133,REF
"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. At the end of 2021, the total number of individuals recognised under UK’s statelessness determination procedure is 258. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.",2021,278,70,STA
"In October 2020, UNHCR Iran received the data on total number of refugees from the Government of the Islamic Republic of Iran, on which consultations are ongoing. According to it, 800,000 refugee card holders reside in the Islamic Republic of Iran, 780,000 of whom are Afghans and 20,000 Iraqis. The last time the Iranian Government had shared information on Afghan refugee population was in May 2015, when according to it 951,410 Afghan refugees resided in Iran; the Iraqi refugee population data was shared in 2013, and according to it 28,268 Iraqi refugees resided in Iran. UNHCR is in consultations with the authorities to understand the reasons behind the decrease reported in 2020 data (170,081 for Afghan refugees and 8,268 for Iraqi refugees).",2020,278,91,REF
"The figure of 18,500 is an estimate by UNHCR with input from stateless communities.",2018,278,99,STA
"The others of concern figure corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.",2023,278,200,OOC
"The figure reported under “Stateless people including displaced Rohingya population from Myanmar”  relates to stateless persons in Rakhine State and persons of undetermined nationality residing in other States in Myanmar. This figure exceptionally  include 125,575 stateless IDPs who are also counted in the column under “IDPs protected/assisted by UNHCR, including people in IDP-like situations” in Annex Table 1. Outside of Rakhine State, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, whose citizenship has not yet been confirmed. The number of stateless persons in Rakhine State was estimated to be approximately one million at the end of 2016. Following large-scale departures to Bangladesh in 2017, the number of stateless persons in Rakhine State (470,000) has significantly declined in comparison to the numbers reported in 2016 and previous years. UNHCR’s statistical reporting currently follows a methodology that reports on one legal status as a person of concern only. However, due to the extraordinary size of the newly displaced stateless population in Bangladesh and within Myanmar, UNHCR considered it important to reflect, on an exceptional basis, the dual status that this population group possesses as both IDPs and stateless persons as to do otherwise might convey the mistaken impression that the overall number of stateless persons has declined significantly. For more information on UNHCR’s approach in reporting on this population group, please refer to the text box on p. 53 of Global Trends 2017 report.",2017,278,135,STA
"Updated figure from the Portuguese Immigration Service referring to 2013.",2015,278,155,STA
"The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in November 2020 under the XII Report on compliance of Uzbekistan with CERD. Information on other categories of statelessness is unavailable.",2020,278,203,STA
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 174 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 224,670 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2018,278,115,STA
"Statistics on asylum applications and decisions processed by the government of Rwanda are reported by UNHCR based on information shared by Government of Rwanda. The comprehensive data is however only available with the government of Rwanda. 
Please also note, that small figures have been redacted for data protection reasons. Among asylum applications decided upon by the government of Rwanda, the total number of recognised asylum-seekers in 2022 was 41, while 103 applications were rejected and 27 cased were otherwise closed. 
Statistics on applications and decisions processed by UNHCR, reflect case processing for the purpose of durable solutions as part of the Emergency Transit Mechanism (ETM).",2022,278,161,ASY
"The figure for the Russian Federation includes 65,400 Ukrainians who were granted refugee or temporary asylum status, as well as those recorded in the country in 2022 under other forms of stay.",2022,278,160,REF
"When presenting statistics on internal displacement, UNHCR applies two different sources: the Internal Displacement Monitoring Centre’s IDP statistics are incorporated in the total forcibly displaced while those IDPs protected/assisted by UNHCR are included in the total population that UNHCR protects and/or assists.  The two sources of IDP data vary significantly in certain countries.",2022,278,278,IDP
"The statelessness figure refers to stateless persons with permanent residence reported by the Government in 2010. The figure has been adjusted provided that citizenship of Uzbekistan was granted to 1,148 persons since December 2016. Information on other categories of stateless persons is not available.",2017,278,203,STA
"Figure refers to stateless persons with permanent residence reported by the Government in 2010. Information on other categories of stateless persons is not available.",2015,278,203,STA
"The figure for the Russian Federation includes 11,210 Ukrainians who were granted refugee or temporary asylum status by mid-2024, as well as 1.2 million Ukrainians recorded in the country under other forms of stay by mid-2023 (no updated data available).",2024,278,160,REF
"An improved methodology to estimate the number of refugees hosted in the United States of America, using official statistics from US Citizenship and Immigration Services, led to a decrease of the refugee stock within the country.",2022,278,202,REF
"Refugee figure relate to the end of 2016.",2017,278,114,REF
"In November 2017, jointly with the Ministry of the Interior of Montenegro (MoI) and the Ministry of Labor and Social Welfare, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved legal status and persons at risk of statelessness, known to UNHCR at that time. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities of Montenegro. Based on the verification results, in 2018 UNHCR reported at least 605 persons at risk of statelessness (145 at risk of statelessness and 460 in a statelessness like situation). During first half of 2024 their number decreased for 30 persons. However, new 44 people at risk of statelessness were identified in the field, leading to the total number of 420 people at risk of statelessness at the end of June 2024. In 2018, Montenegro introduced formal statelessness determination procedure in its legal system. By the end of June 2024, through that procedure, 11 people were officially recognized as stateless by the MoI.",2024,278,133,STA
"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.3 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",2017,278,70,ASY
"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include the first-time refugee and stateless populations, will provide more accurate data.",2020,278,30,REF
"Refugee figure related to the end of 2016.",2018,278,17,REF
