Footnote,Year,"Country of origin","Country of asylum","Population type"
"UNHCR is verifying the number of stateless people with the Government of Saudi Arabia.",2024,278,163,STA
"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.7 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (7 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 7 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",2024,278,44,IDP
"Estimates of the number of Ukrainians in a refugee-like situation in Montenegro were revised.",2024,278,133,REF
"The figure for the Russian Federation includes 11,210 Ukrainians who were granted refugee or temporary asylum status by mid-2024, as well as 1.2 million Ukrainians recorded in the country under other forms of stay by mid-2023 (no updated data available).",2024,278,160,REF
"In November 2017, jointly with the Ministry of the Interior of Montenegro (MoI) and the Ministry of Labor and Social Welfare, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved legal status and persons at risk of statelessness, known to UNHCR at that time. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities of Montenegro. Based on the verification results, in 2018 UNHCR reported at least 605 persons at risk of statelessness (145 at risk of statelessness and 460 in a statelessness like situation). During first half of 2024 their number decreased for 30 persons. However, new 44 people at risk of statelessness were identified in the field, leading to the total number of 420 people at risk of statelessness at the end of June 2024. In 2018, Montenegro introduced formal statelessness determination procedure in its legal system. By the end of June 2024, through that procedure, 11 people were officially recognized as stateless by the MoI.",2024,278,133,STA
"The statistics of stateless/undetermined nationality have been revised as per the updated data received from the Ministry of Interior (as of 30 June 2024). Based on this, the figure of 954 (other stateless persons according to 2011 census) has been removed. This is to note that the latest 2021 census did not include the category of stateless persons, therefore these are not reported.",2024,278,49,STA
"A limited number of countries record refugee and asylum statistics by country of birth rather than country of origin. This affects the number of refugees reported as originating from the United States of America.",2024,202,278,REF
"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.",2024,278,137,STA
"The stateless statistics figure is a combination of data published by the National Institute of Statistics (675 as of 1 January 2023), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy.",2024,278,94,STA
"The estimate for internally displaced people in Ethiopia was revised upwards to 3.2 million from 2.6 million. Previous estimates of internal displacement in the country did not cover locations that were inaccessible in the Tigray region and the south of the country.",2024,278,58,IDP
"The decreased statistical data on refugees and subsidiary protection holders in Malta is primarily attributed to a revised/updated official data shared with UNHCR by the International Protection Agency under the Ministry of Home Affairs,  Security and Employment. The official governmental data (as of June 30, 2024) reflects the active international protection holders residing in Malta.",2024,278,132,REF
"The statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2023. Information on other categories of statelessness is unavailable.",2024,278,203,STA
"In January 2024, the Government of Turkmenistan released first time ever official statistical information on stateless persons. Previously, in the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. Given the discrepancies between partner organizations figures and official figures as of 31 Dec 2023, UNHCR plans to continue crosschecking of partners’ database with the Turkmen authorities in 2024 in order to ensure accurate reporting for 2024. The decrease in the reported figure corresponds to those people who were naturalized or who had another nationality confirmed.",2024,278,190,STA
"With regards to stateless statistics, the figure for non-displaced stateless people is based on the 2021 census. Figures for stateless refugees and stateless asylum-seekers are derived from census data.",2024,278,76,STA
"Mid-year stock refers to protected persons who are yet to acquire permanent resident status.",2024,278,33,REF
"With regards to stateless statistics, the number of stateless displaced persons have not been available for several years, hence current estimates may not reflect the real numbers currently in the country.",2024,278,12,STA
"There is no official data on statelessness in Poland. The reported figure refers to the number of stateless people holding a personal identification number issued by the Government, which does not cover all stateless people in the country. The figure additionally includes stateless asylum-seekers and refugees (including beneficiaries of temporary protection) in Poland.",2024,278,154,STA
"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of mid-2024, the total number of individuals recognised under UK’s statelessness determination procedure is 394. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.",2024,278,70,STA
"The number of refugees was re-calculated based on the refugee data provided by the government. The overall figures for Spain include refugee status (7%), subsidiary protection (8%), temporary protection (50%) and humanitarian reasons (35%).",2024,278,173,REF
"No official data on the actual number of refugees residing in Bulgaria is available. The estimate includes 61,100 Ukrainians who received temporary protection, and 33,400 other refugees.",2024,278,30,REF
"The total statelessness figure includes 586,500 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2023.",2024,278,188,STA
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on a survey conducted by the Directorate General of Immigration and Emigration (DGIE) in 2010, which found approximately 9,500 people to be at risk of statelessness. The 2023 population and housing census, led to the identification of areas where populations reside who are stateless or at the risk thereof. Efforts are underway to conduct targeted surveys that will provide an updated and reliable statistics.",2024,278,161,STA
"No data was available for stateless persons residing in the United States of America.",2024,278,202,STA
"With regards to stateless statistics, the figure includes people determined to be stateless following the statelessness determination procedure and people with undetermined nationality who hold expired Soviet passports.",2024,278,122,STA
"The number of stateless people (233) reported for Iraq reflects the number of stateless persons identified through a survey completed by UNHCR and a partner among various communities affected by statelessness, which led to 1,000 interviews being conducted, through which 233 individuals were considered to be stateless. This figure only captures stateless individuals known to UNHCR, while there are likely to be more people in the country who are stateless. It does not include any estimate of the stateless refugee population or persons of undetermined nationality, populations that are also typically included in official UNHCR statelessness statistics. Based on other data sources it is understood that there are also persons of those profiles in Iraq, and the reported figures will be reviewed as more information becomes available.",2024,278,92,STA
"The number reported of stateless refugees and of non-displaced stateless people remains unchanged from end-2023, as no updated data was submitted from authorities.",2024,278,86,STA
"Almost all people recorded as being stateless have permanent residence and enjoy more rights than foreseen in the 1954 Convention relating to the Status of Stateless Persons.",2024,278,57,STA
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on joint outreach mission conducted by the Government of Uganda and UNHCR in September/October 2021, that aimed to provide estimate numbers through self-identification of communities not recognized under the Third Schedule of the 1995 Constitution.",2024,278,199,STA
"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed.",2024,278,185,STA
"With regards to stateless statistics, the number reported on stateless asylum seekers at mid-year is derived from the number of pending asylum applications lodged by ""stateless"" and ""unknown"" reported by the Finnish authorities. The number reported of stateless refugees and of non-displaced stateless has been left unchanged as per end-2023, as no updated data was submitted from authorities.",2024,278,61,STA
"With regards to stateless statistics, the figure is an estimate based on previous NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.",2024,278,181,STA
"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 65,500 people of various origins in Kazakhstan who may be in need of international protection.",2024,278,98,REF
"The Lebanese government estimates that 1.5 million Syrians are in Lebanon (some 774,700 registered by UNHCR as well as 11,400 asylum-seekers and refugees of other nationalities).",2024,278,109,REF
"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 2,800 people of various origins in Tajikistan who may be in need of international protection",2024,278,189,REF
"Refers to Palestinian refugees under the UNHCR mandate only.",2024,69,278,REF
"The refugee population in Jordan includes 26,800 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2024,92,96,REF
"The number of other people in need of international protection is estimated from the Regional Refugee and Migrant Response Plan.",2024,278,38,OIP
"As no government figures for the refugee population in the country is available, UNHCR estimates the number of refugees by assuming that it is the sum of all asylum-seekers recognized during the last ten years on a rolling basis.",2024,278,12,REF
"The 2014 ministerial declaration that offered Prima Facie refugee status to persons fleeing generalised violence from Central African Republic from January 2013 onwards is no longer applicable. As such, all refugees are assessed on an individual basis by the National Commission for Refugees.",2024,278,41,REF
"The decrease in the stateless population in France between 2023 and mid-2024 is due to de-duplication of figures reported in previous years.",2024,278,64,STA
"Based on new arrivals information in the report of international organizations and UNHCR protection monitoring activities, UNHCR estimates there to be 25,500 people of various origins in Kyrgyzstan who may be in need of international protection.",2024,278,100,REF
"The total stateless population in Malaysia includes 9,400 non-displaced stateless people who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless people is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR.",2024,278,127,STA
"Stateless persons reported by UNHCR correspond to recognized stateless persons who have been granted a residence permit in Belgium and who are therefore registered in the national register. It should be noted that recognized stateless persons who have not been granted a residence permit are not taken into account in figures provided by the Belgian Government.",2024,278,17,STA
"The statistics on asylum-seekers (new applications, re-opened/repeat applications and/or appeal application) and refugees individually recognized in Canada include persons who had their claim assessed before the Refugee Protection Division and the Refugee Appeal Division of the Immigration Refugee Board as well as by the Department of Immigration, Refugees and Citizenship Canada through a Pre-Removal Risk Assessment.",2024,278,33,ASY
"The figures for stateless individuals in Spain represent the 8,525 individuals recognized through the Spanish stateless determination procedure under the 1954 Convention relating to the Status of Stateless Persons, as well as 38 stateless refugees and 15 stateless asylum-seekers. Source: Permanent Observatory on Immigration, Spanish Ministry of Inclusion, Social Security and Migration.",2024,278,173,STA
"Based on reports from international organizations, UNHCR estimates that there are approximately 3,600 Afghan nationals residing in Turkmenistan who are likely in need of international protection.",2024,278,190,REF
"Based on an interagency study conducted in 2018, the Inter Sector Working Group, like the host Government, estimates that 173,600 people live in the camps. UN agencies use different points of reference for the population living in the camps. For example, UNHCR uses the number 90,000 to refer to the ‘most vulnerable refugees’ although recognizing that assistance figures should be calculated differently. For the purposes of the SRRP, the higher 173,600 number will be used as a planning figure to ensure humanitarian assistance is comprehensive. See https://algeria.un.org/sites/default/files/2024-01/SRRP%20-%20English.pdf.",2024,210,4,REF
"The number of refugees was rebased using updated data on the number of residence permit holder with refugee status and temporary protection holders by the end of 2023, available from Eurostat.",2024,278,94,REF
"With regards to stateless statistics, the number reported on stateless asylum seekers at mid-year is derived from the number of pending asylum applications lodged by ""stateless"" and ""unknown"" reported by the Swedish authorities. The reported number of stateless refugees and of non-displaced stateless people is as of end-2023, as no updated data was provided by the authorities.",2024,278,183,STA
"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless people remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 634,000 due to additional displacement (including an estimated 247,800 of those Rohingya who have been internally displaced).",2024,278,135,STA
"There are indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",2024,278,89,STA
